place,0,1,2,3,4,5,6,7,8,9
더벤티 중앙대점,메가MGC커피 상도중앙점,매머드익스프레스 중앙대후문점,메가MGC커피 숭실대입구역점,매머드익스프레스 중앙대점,컴포즈커피 중앙대점,커피킹,빽다방 숭실대점,이공커피 흑석본점,블루포트 중앙대학교301관점,중앙대학교경영관카페드림
카페숨,커피나무 상도점,라임플레쉬카페,빅토리아가든,펠어커피 상도점,바리스타조앤,셀렉토커피 상도두산점,엘에스와이랩,스타벅스 중앙대점,스타벅스 숭실대입구역점,카페디차
경성찹쌀꽈배기 상도역점,스마일꽈배기,흑석제과,리치몽브레 흑석점,파리바게뜨 중앙대점,오롯이 굽다,BGT호두단팥빵 숭실대역점,파리바게뜨 노들역점,뚜레쥬르 상도래미안점,가춘,참베이커리
이디야커피 숭실대역점,카페모찌 중앙대점,이디야커피 중앙대점,아마스빈 중앙대점,셀렉토커피 상도두산점,요거프레소 중앙대점,중앙대310관 카페,쉬어가는모퉁이커피한잔,메가MGC커피 숭실대입구역점,블루포트 중앙대학교301관점,마담콩cafe
탐앤탐스 중앙대점,델리앤젤라또 중앙대병원점,그루비,바리스타조앤,스타벅스 중앙대점,토크넌센스,페이브베이커리 흑석점,스타벅스 숭실대입구역점,GOODDAY COFFEE,하드앤빈스,카페잇 중앙대병원점
메이카페,LITITCOFFEE,커피나무 랩,오티움 로스터리,이디야 중앙대후문점,카페필림,스타벅스 숭실대점,청맥살롱,오카페 흑석점,블루포트 중앙대학교102관점,더치앤빈 흑리단길점
카페디차,스타벅스 중앙대점,카페힐우드,카페잇 중앙대병원점,스타벅스 숭실대입구역점,투앤나인,셀렉토커피 상도두산점,카페노들수,데일리커피,델리앤젤라또 중앙대병원점,펠어커피 상도점
이디야 중앙대후문점,스타벅스 숭실대점,오카페 흑석점,스타벅스 중앙대점,할리스 중앙대점,셀렉토커피 상도두산점,델리앤젤라또 중앙대병원점,카페디차,이디야커피 중앙대점,카페모찌 중앙대점,스타벅스 숭실대입구역점
커피에반하다 중앙대점 스마트 무인카페,메가MGC커피 중앙대점,매머드익스프레스 중앙대점,매머드익스프레스 중앙대후문점,컴포즈커피 중앙대점,블루포트 중앙대학교301관점,메가MGC커피 상도중앙점,마린커피,카페드림 중앙대법학관점,메가MGC커피 숭실대입구역점,모코커피
카페필림,엘에스와이랩,가성비,쉬어가는모퉁이커피한잔,더치앤빈 흑리단길점,문커피,카페 빈,커피향기,카페아드리아,오티움 로스터리,셀렉토커피 상도두산점
달콩커피,이디야커피 상도중앙점,더치앤빈 흑리단길점,이공커피 흑석본점,쉬어가는모퉁이커피한잔,문커피,빽다방 숭실대점,메가MGC커피 숭실대입구역점,마린커피,블루포트 중앙대학교301관점,카페아드리아
카페비온후,스노우플라워,카페 더테이블,"카페, 순",카페잇 중앙대병원점,커피집,델리앤젤라또 중앙대병원점,스타벅스 중앙대점,커피나무 중앙대정문점,카페노들수,스타벅스 숭실대점
커피인더스터디,THE한강,액션커피,터방내,st.535로스터리카페,커피향기,보트커피,위드커피,오티움 로스터리,카페필림,커피콩클럽
라임플레쉬카페,엘에스와이랩,카페힐,카페숨,커피브라운,바리스타조앤,모코커피,빅토리아가든,하드앤빈스,커피나무 상도점,카페 루반
메가MGC커피 상도중앙점,메가MGC커피 숭실대입구역점,컴포즈커피 중앙대점,매머드익스프레스 중앙대후문점,더벤티 중앙대점,블루포트 중앙대학교301관점,매머드익스프레스 중앙대점,이공커피 흑석본점,커피킹,카페드림 중앙대법학관점,빽다방 숭실대점
데일리커피,카페힐우드,투앤나인,카페디차,오티움 로스터리,커피더캠프 흑석역점,셀렉토커피 상도두산점,더치앤빈 흑리단길점,카페린91,더웨이,문커피
카페드림 중앙대법학관점,컴포즈커피 중앙대점,메가MGC커피 숭실대입구역점,마린커피,메가MGC커피 중앙대점,메가MGC커피 상도중앙점,마담콩cafe,쉬어가는모퉁이커피한잔,카페 빈,카페아드리아,매머드익스프레스 중앙대점
블루버블 버블티,비틀쥬스 중앙대학교병원점,카페찌미스,유프카페 중앙대후문점,베브릿지 중앙대점,정우원,더웨이,공차 중앙대점,크로플덕 오리아가씨 서울대입구점,위드커피,펠어커피 상도점
63베이커리,브라운필 빵공장,파리바게트 상도역점,뚜레쥬르 상도래미안점,프랑세즈,뚜레쥬르 중앙대100주년관점,블랑제리꾸끄,BGT호두단팥빵 숭실대역점,파리바게뜨 노들역점,언니의식빵가게,파리바게뜨 중앙대점
카페린91,펠어커피 상도점,바리스타조앤,카페디차,커피더캠프 흑석역점,데일리커피,빅토리아가든,카페숨,라임플레쉬카페,셀렉토커피 상도두산점,st.535로스터리카페
파리바게뜨 노들역점,오롯이 굽다,파리바게뜨 중앙대점,뚜레쥬르 상도래미안점,리치몽브레 흑석점,파리바게뜨 상도건영점,가춘,참베이커리,경성찹쌀꽈배기 상도역점,프랑세즈,언니의식빵가게
빅토리아가든,바리스타조앤,하드앤빈스,st.535로스터리카페,모코커피,카페숨,GOODDAY COFFEE,카페 빈,커피집,라임플레쉬카페,블루포트
모코커피,하드앤빈스,블루포트,마린커피,갓프레소 본점,카페 빈,빅토리아가든,메가MGC커피 중앙대점,바리스타조앤,이디야커피 중앙대점,카페모찌 중앙대점
아마스빈 중앙대점,이디야커피 숭실대역점,요거프레소 중앙대점,카페모찌 중앙대점,이디야커피 중앙대점,베브릿지 중앙대점,셀렉토커피 상도두산점,중앙대310관 카페,카페노들수,델리앤젤라또 중앙대병원점,빽다방 숭실대점
문커피,더치앤빈 흑리단길점,달콩커피,쉬어가는모퉁이커피한잔,이공커피 흑석본점,보트커피,중앙대학교경영관카페드림,커피킹,빽다방 숭실대점,엘에스와이랩,가성비
메가MGC커피 중앙대점,컴포즈커피 중앙대점,마린커피,블루포트 중앙대학교301관점,블루포트,카페드림 중앙대법학관점,매머드익스프레스 중앙대점,메가MGC커피 상도중앙점,카페모찌 중앙대점,메가MGC커피 숭실대입구역점,이디야커피 중앙대점
카페 러브구스토,브라운필투,베이커즈원,커피나무 중앙대정문점,요세프,던킨 중앙대병원점,투앤나인,앳더블랑,커피나무 랩,마담콩cafe,브릿지엣지
카페 빈,블루포트,이디야커피 중앙대점,쉬어가는모퉁이커피한잔,마린커피,셀렉토커피 상도두산점,가성비,카페아드리아,카페모찌 중앙대점,커피향기,갓프레소 본점
스노우플라워,카페비온후,"카페, 순",카페 더테이블,카페잇 중앙대병원점,커피나무 중앙대정문점,페이브베이커리 흑석점,카페노들수,델리앤젤라또 중앙대병원점,스타벅스 중앙대점,커피나무 상도점
파리바게뜨 상도건영점,파리바게뜨 중앙대점,파리바게뜨 노들역점,뚜레쥬르 상도래미안점,오롯이 굽다,참베이커리,우리동네 식빵해적단,가춘,BGT호두단팥빵 숭실대역점,파리바게트 상도역점,브레드숨
더치앤빈 흑리단길점,달콩커피,가성비,문커피,이디야커피 상도중앙점,쉬어가는모퉁이커피한잔,이공커피 흑석본점,마린커피,오티움 로스터리,엘에스와이랩,카페 빈
오티움 로스터리,더치앤빈 흑리단길점,투앤나인,st.535로스터리카페,LITITCOFFEE,데일리커피,카페힐우드,스타벅스 숭실대입구역점,커피더캠프 흑석역점,달콩커피,카페디차
리치몽브레까페,브라운필 빵공장,프랑세즈,블랑제리꾸끄,63베이커리,히뽀1997,라임플레쉬카페,카페숨,엘에스와이랩,커피브라운,커피나무 상도점
카페 더테이블,"카페, 순",스노우플라워,카페비온후,유프카페 중앙대후문점,커피나무 중앙대정문점,요세프,카페잇 중앙대병원점,카페노들수,액션커피,던킨 중앙대병원점
이레호두,베러댄와플 중앙대점,크로플덕 오리아가씨 서울대입구점,배스킨라빈스 중앙대,커스텀요거트,배스킨라빈스 숭실대점,설빙 서울중앙대점,카페미뇽 중앙대점,브릿지엣지,모녀당 상도점,드웨이
