place,tag_title,tag_count
클로리스 코엑스몰점,"['차가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '친절해요']","[437, 374, 276, 259, 119]"
꽃갈피,[],[]
공상온도,"['집중하기 좋아요', '인테리어가 멋져요', '음료가 맛있어요', '디저트가 맛있어요', '커피가 맛있어요']","[40, 38, 27, 24, 20]"
코지빌라커피,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '대화하기 좋아요']","[56, 36, 25, 20, 19]"
리치몬드 과자점 성산본점,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요', '인테리어가 멋져요', '매장이 청결해요']","[542, 142, 111, 110, 101]"
카페후암동,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요', '대화하기 좋아요']","[37, 28, 23, 18, 13]"
퀜치커피,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '매장이 청결해요', '인테리어가 멋져요']","[19, 11, 8, 5, 4]"
아오이토리,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요', '가성비가 좋아요', '매장이 청결해요']","[830, 350, 180, 142, 77]"
삼청빙수,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요']","[252, 103, 94, 92, 54]"
센터커피,"['커피가 맛있어요', '뷰가 좋아요', '음료가 맛있어요', '친절해요', '인테리어가 멋져요']","[440, 195, 121, 114, 108]"
1994양과점,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '커피가 맛있어요', '선물하기 좋아요']","[121, 57, 42, 21, 19]"
스타벅스 광화문D타워점,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '매장이 청결해요', '대화하기 좋아요']","[718, 430, 359, 285, 200]"
camel,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요', '특별한 메뉴가 있어요']","[359, 150, 96, 74, 71]"
폼앤노말,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요']","[138, 124, 62, 62, 51]"
커피가게동경,"['커피가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요']","[284, 73, 68, 65, 49]"
더플라잉팬레드,"['특별한 메뉴가 있어요', '인테리어가 멋져요', '친절해요', '대화하기 좋아요', '커피가 맛있어요']","[111, 107, 84, 73, 67]"
도쿄빙수 건대점,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '음료가 맛있어요', '커피가 맛있어요']","[136, 81, 32, 27, 26]"
시간의 공기,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '매장이 청결해요', '친절해요']","[22, 21, 13, 11, 9]"
BNHR,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '매장이 청결해요', '친절해요']","[151, 56, 42, 42, 38]"
콩카페 이태원점,"['커피가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요', '친절해요']","[138, 62, 55, 37, 29]"
GROUND62,[],[]
정월,"['인테리어가 멋져요', '커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '친절해요']","[172, 159, 118, 96, 75]"
카페 그자체 베이커리,"['빵이 맛있어요', '인테리어가 멋져요', '커피가 맛있어요', '음료가 맛있어요', '친절해요']","[205, 171, 141, 127, 84]"
스타벅스 파미에파크R점,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요']","[1112, 414, 311, 295, 261]"
liike coffee,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '매장이 청결해요', '음료가 맛있어요']","[19, 9, 6, 6, 4]"
온,"['커피가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '음료가 맛있어요']","[179, 161, 108, 83, 77]"
슬로우모션 커피바,"['커피가 맛있어요', '인테리어가 멋져요', '매장이 청결해요', '디저트가 맛있어요', '친절해요']","[19, 9, 8, 7, 6]"
스윗솔트,"['음식이 맛있어요', '매장이 넓어요', '주차하기 편해요', '뷰가 좋아요', '친절해요']","[1303, 735, 673, 520, 402]"
브라운핸즈 디지털단지,"['커피가 맛있어요', '인테리어가 멋져요', '대화하기 좋아요', '음료가 맛있어요', '매장이 청결해요']","[135, 96, 54, 52, 50]"
